Speaker,Time,Date,Duration,Operator,Notes,Commander,Notes,Command and Control,Notes,Critical Functions,Notes,Consequence,Notes,AWS as a Whola,Notes,Study or pre-R&D,Notes,R&D,Notes,Aquisition,Notes,Deployment,Notes,Use,Notes,Post-Use,Notes,Life Cycle,Notes,Parameters of use,Notes,Environment,Notes,Human-Machine Interaction,Notes
UNITED STATES,12:36:21,0:00:00,0:03:54,,,,,[04] Support,"to including the point that is already here in paragraph 3 about operating laws within a responsible chain of human command and control, the draft article 6 in our draft articles proposal contains five other aspects of a states IHL implementation framework that should be applied to law",,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,12:54:34,0:00:00,0:04:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,15:59:29,0:00:00,0:04:12,,,,,,,,,[03] Direct use,CONS: overall humanitarian concern as the risk of humans losing control of armed conflict while it is humans who will continue to bear the consequences of armed conflict. Many of those risks can be mitigated or even eliminated by human control,,,,,,,[04] Support,"LEGREV: There is an overall humanitarian concern as the risk of humans losing control of armed conflict while it is humans who will continue to bear the consequences of armed conflict. Many of those risks can be mitigated or even eliminated by human control and others, this is also clear, would mostly be mitigated through legal reviews",,,,,,,,,,,,,,
ARGENTINA,11:23:37,0:00:00,0:02:45,,,,,,,[04] Support,CF: should be to maintain meaningful human control over critical functions of the operation of autonomous systems,,,,,,,,,,,,,,,,,,,,,,,,
MEXICO,15:42:04,0:00:00,0:03:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLY SEE,10:57:49,0:00:00,0:03:09,,,,,,,,,,,,,,,[99] Something else,"r/DEV: [no explicit relation between human control & development] ethical concerns raised by the weaponization of AI. [...], the development of ever more sophisticated weapons is certainly not the solution",,,,,,,,,,,,,,,,
RUSSIAN FEDERATION,12:19:04,0:00:00,0:05:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AFRICA,12:02:49,0:00:00,0:02:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERU,12:09:08,0:00:00,0:03:12,,,,,,,,,,,,,,,[04] Support,DEV: position against the development of these weapons without human control.,,,,,,,,,,,,,,,,
CUBA,11:01:34,0:00:00,0:03:22,,,,,,,,,,,,,,,[99] Something else,DEV: [developing norms] develop elements surrounding,,,,,,,,,,,,,,,,
UNITED KINGDOM,12:28:17,0:00:00,0:02:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKISTAN,11:27:50,0:00:00,0:04:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,12:14:34,0:00:00,0:03:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,15:24:48,0:00:00,0:03:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWEDEN,16:50:42,0:00:00,0:02:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLY SEE,11:58:56,0:00:00,0:03:21,,,,,,,[04] Support,"TGT: If operating without any direct human supervision, such systems may make errors in identifying the intended targets due to unidentified biases induced by their self-learning capabilities. Therefore, it is crucial to ensure sufficient, meaningful and consistent human oversight over weapon systems equipped with artificial intelligence functions.",,,,,,,,,,,,,,,,,,,,,,,,
RUSSIAN FEDERATION,11:04:27,0:00:00,0:10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,11:46:18,0:00:00,0:05:31,,,,,,,,,[04] Support,"ATK: at the end of the human judgment paragraph to add in the words including the principles and requirements of distinction, proportionality and precautions in attack",,,[00] Oppose,"[IHL requirement]: We would oppose adding a reference to human control in that language. Again, that was not consensus language. There was not consensus of the group on that just last year. [...]. Human judgment is the agreed language, not human control. So we would not agree to changing that language. The one suggestion we might offer is at the end of the human judgment paragraph to add in the words including the principles and requirements of distinction, proportionality and precautions in attack, just as you have above, just essentially to make the two paragraphs align.",,,,,,,,,,,,,,,,,,
ISRAEL,12:50:00,0:00:00,0:01:50,,,,,,,[03] Direct use,TGT: Israel is not using an AI system that autonomously chooses targets for attack without human involvement. The target selection procedure Israel is employing is handled by humans and Israel has been transparent about it.,[99] Something else,"ATK: [not related to consequences of an attack] lly autonomous weapon system will fall under this characterization but it does not specify at which point, ie, where is the nominal human involvement or absence thereof in the kill chain to render it an autonomous weapon system? Is it at target identification, the selection or the initiation of an attack",,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,16:40:27,0:00:00,0:00:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,11:33:44,0:00:00,0:03:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,12:13:39,0:00:00,0:01:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,17:33:28,0:00:00,0:03:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,11:49:08,0:00:00,0:02:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKIYE,15:52:58,0:00:00,0:02:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,10:37:33,0:00:00,0:02:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,16:34:51,0:00:00,0:03:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE OF PALESTINE,11:31:01,0:00:00,0:03:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,15:16:23,0:00:00,0:02:46,,,,,,,,,,,,,[01] Caveat,Areas of divergence include the need for a legally binding instrument and the manner of human involvement where differences still exist over terminology as well as the requirement for real time supervision.,,,,,,,,,,,,,,,,,,
ISRAEL,16:38:51,0:00:00,0:07:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,16:51:22,0:00:00,0:02:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL,13:04:53,0:00:00,0:01:12,,,,,[03] Direct use,"we would propose aligning this text with guiding principle D so that it would read accountability for developing, deploying and using any emerging weapons system in the framework of the CCW must be ensured in accordance with the applicable international law including through the operation of such systems within a responsible chain of human command and control.",,,,,,,,,[04] Support,"DEV: we would propose aligning this text with guiding principle D so that it would read accountability for developing,",,,[04] Support,DEPLOY: deploying and using any emerging weapons system in the framework of the CCW must be ensured in accordance with the applicable international law,,,,,,,,,,,,
AUSTRIA,17:20:51,0:00:00,0:02:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,15:25:07,0:00:00,0:01:01,,,,,,,,,,,,,[04] Support,"We assume that some of the aspects that were deleted, such as the one in our view pivotal requirement of human control will be discussed at a later point in this document as you have indicated.",,,,,,,,,,,,,,,,,,
BRAZIL,10:59:23,0:00:00,0:04:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,15:45:24,0:00:00,0:02:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,12:05:20,0:00:00,0:04:55,,,,,,,[99] Something else,"CF/e: [characterization] we quite like the Brazilian contribution, the degree in which a system can perform critical functions without human intervention. This picks up the critical functions. This picks up the discussion we had about human intervention. It reflects that it is not black or white. It is not an on and off. It is a differentiation that is needed. We would consider this dimension is really at the core of what we seek to capture in the context of this GGE",,,,,,,,,,,,,,,,,,,,,,,,
PANAMA,15:34:21,0:00:00,0:03:24,,,,,,,,,[04] Support,"ATK: human intervention. So we think that it should be incorporated into the body of the text. We heard a proposal to remove that reference to objects. We think that they should be retained because under international humanitarian law, there are places and objects such as hospitals, ambulances, cultural heritage sites which are protected. So attacking them is prohibited. International humanitarian law also prohibits attacking anything which is vital for the survival of civilians",,,,,[99] Something else,DEV: [developing norms] nominal human input. This could be developed,,,,,,,,,,,,,,,,
ARGENTINA,16:02:45,0:00:00,0:02:25,,,,,,,[99] Something else,"TGT: [characterization] The concepts of selection, targeting, commitment and the implementation without human intervention which are maintained by the ICRC bring more clarity to define autonomous weapon systems and they allow for subsequent fine-tuning of the definition.",,,,,,,,,,,,,,,,,,,,,,,,
CHINA,17:53:32,0:00:00,0:03:51,,,,,,,[04] Support,"TGT/ENG: scholars mentioned concerns should be on the capability of the weapon systems to search, discover, identify, assess, engage, track and launch force against certain targets without the human intervention. China would recommend that we can further deepen our discussions on this.",,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,16:21:09,0:00:00,0:04:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,16:08:05,0:00:00,0:05:31,,,,,,,[99] Something else,ENG: [engagement in gge] long course of our engagement on these issues. And we want to continue to engage on it.,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN,17:05:10,0:00:00,0:02:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKISTAN,16:11:26,0:00:00,0:05:19,,,,,,,[99] Something else,"TGT/ENG: [characterization] appreciate the recent amendment to include the word human intervention. In our view, this very clearly establishes that the weapon system which [...] by design has the capability to select and engage a target without any further human intervention are included in this.",,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,15:42:18,0:00:00,0:01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,11:45:22,0:00:00,0:01:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,11:28:15,0:00:00,0:00:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,15:55:31,0:00:00,0:06:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,12:05:40,0:00:00,0:02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,16:49:01,0:00:00,0:01:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,17:39:10,0:00:00,0:01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,11:23:45,0:00:00,0:02:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULGARIA,12:51:32,0:00:00,0:00:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUATEMALA,11:30:01,0:00:00,0:01:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,11:49:03,0:00:00,0:01:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPUBLIC OF KOREA,15:47:43,0:00:00,0:02:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,16:05:27,0:00:00,0:02:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,11:40:13,0:00:00,0:02:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILE,12:10:22,0:00:00,0:01:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORWAY,15:28:22,0:00:00,0:01:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUBA,16:44:18,0:00:00,0:02:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINLAND,16:03:54,0:00:00,0:00:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,12:08:21,0:00:00,0:00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,12:18:58,0:00:00,0:00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
